,labels,values
0,MLS #,201812574
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$249,900"
4,Sale/Rent,For Sale
5,Unit #1 Rent,"$1,300"
6,Unit1 Rent Description,Estimated
7,Unit #2 Rent,"$1,240"
8,Unit2 Rent Description,Actual
9,Address,116 HOMESTEAD AV
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12203
14,County,Albany
15,Status,Pend (Under Cntr)
16,Public Remarks,"Well maintained, freshly painted 2-Family centrally located near bus lines, highways, colleges & restaurants.  Original details, built-ins, french doors & gleaming hardwoods throughout.  Tons of storage in basement & walk-up attic, washer dryer hookups in basement.  Updates include new windows (basement to attic) within 3 years, new roof 2017, gas HW heaters, gas stove & dishwasher in unit 1, back porch recently rebuilt.  Garage sold 'as is' & used by tenants upon request.  Agent related to seller"
17,Directions 1,"Washington Avenue West to Homestead on Left, house on right"
18,Age (NOT year built),88
19,Total Bedrooms Unit 1,3
20,Total Bedrooms Unit 2,3
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,#Off Street Parking Spc,8
27,Total Taxes,"8,311"
28,Acres,0.120
29,School District Code,Albany
30,School Taxes,"5,098"
31,School Taxes Description,Actual
32,ATTIC,"Full, Walk-Up"
33,BASEMENT,Full
34,CONDITION,Very Good
35,EXTERIOR,Aluminum
36,GARAGE DESCRIPTION,Detached
37,HEAT FUEL,Natural Gas
38,HEAT SYSTEM,Radiator
39,LAUNDRY,Basement
40,LOT DESCRIPTION,Level
41,PROPERTY DESCRIPTION,Up-and-Down
42,ROOF,Asphalt Shingle
43,SEPARATE UTILITIES,"Electric, Gas, Heat, Water Heater"
44,SEWER,Public
45,SHOWING INSTRUCTIONS,"Lockbox, Tenants"
46,SPECIAL MARKET CONDITIONS,No Special Conditions
47,UNIT #1 AMENITIES,"Wood Floors, High Speed Internet, Cable Television"
48,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator, Dishwasher"
49,UNIT #1 DINING ROOM TYPE,Formal Dining Room
50,UNIT #1 OCCUPIED,Vacant
51,UNIT #2 AMENITIES,"French Doors, Wood Floors, High Speed Internet, Cable Television"
52,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
53,UNIT #2 DINING ROOM TYPE,Formal Dining Room
54,UNIT #2 OCCUPIED,Leased
55,WATER,Public
56,Above Ground SQFT,2640
57,Handicap Access,No
58,Unit #1 Kitchen,Working Only
59,Unit1 Kitchens on 1st Flr,1
60,Unit1 Bedrooms in Bsmt,0
61,Unit1 Bedrooms on 1st Flr,3
62,Unit1 Bedrooms on 2nd Flr,0
63,Unit1 Bedrooms on 3rd Flr,0
64,Unit1 Din Rms on 1st Flr,1
65,Unit1 Full Baths in Bsmt,0
66,Unit1 Full Bths on1st Flr,1
67,Unit1 Full Bths on2nd Flr,0
68,Unit1 Full Bths on3rd Flr,0
69,Unit1 Liv Rms on 1st Flr,1
70,Unit1 Partial Bth 1st Flr,0
71,Unit1 Partial Bth 2nd Flr,0
72,Unit1 Partial Bth 3rd Flr,0
73,Unit1 Partial Bth in Bsmt,0
74,Unit1 Possession,At Closing
75,Unit #2 Kitchen,Working Only
76,Unit2 Kitchens on 2nd Flr,1
77,Unit2 Bedrooms in Bsmt,0
78,Unit2 Bedrooms on 1st Flr,0
79,Unit2 Bedrooms on 2nd Flr,3
80,Unit2 Bedrooms on 3rd Flr,0
81,Unit2 Din Rms on 2nd Flr,1
82,Unit2 Full Baths in Bsmt,0
83,Unit2 Full Bths on1st Flr,0
84,Unit2 Full Bths on2nd Flr,1
85,Unit2 Full Bths on3rd Flr,0
86,Unit2 Liv Rms on 2nd Flr,1
87,Unit2 Other Rm on 2nd Flr,1
88,Unit2 Partial Bth 1st Flr,0
89,Unit2 Partial Bth 2nd Flr,0
90,Unit2 Partial Bth 3rd Flr,0
91,Unit2 Partial Bths Bsmt,0
92,Unit2 Possession,TBD
