,labels,values
0,MLS #,201722651
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$199,900"
4,Sale/Rent,For Sale
5,Unit #1 Rent,$875
6,Unit1 Rent Description,Actual
7,Unit #2 Rent,$850
8,Unit2 Rent Description,Actual
9,Address,131 JEFFERSON ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12210
14,County,Albany
15,Status,Active
16,Public Remarks,"Priced to sell! This amazing two family property in Albany's Hudson Park is perfect for owner occupant or investment. Constant income, separate utilities, 2 bedrooms and 1 bath in each unit. Seller is Motivated!"
17,Directions 1,Madison Ave to S. Swan to Jefferson Street.
18,Age (NOT year built),143
19,Total Bedrooms Unit 1,2
20,Total Bedrooms Unit 2,2
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,No
26,#Off Street Parking Spc,0
27,Total Taxes,"4,137"
28,Acres,0.000
29,School District Code,Albany
30,BASEMENT,Part
31,CONDITION,Good
32,COOLING TYPE,None
33,EXTERIOR,Wood
34,GARAGE DESCRIPTION,None
35,HEAT FUEL,Natural Gas
36,HEAT SYSTEM,Hot Air
37,LAUNDRY,None
38,LOT DESCRIPTION,Level
39,OFFERING TERMS,See Remarks
40,PHOTO INSTRUCTIONS,Broker Load Photo
41,PROPERTY DESCRIPTION,Up-and-Down
42,ROOF,"Rubber, Other"
43,SEPARATE UTILITIES,"Electric, Gas, Heat"
44,SEWER,Public
45,SHOWING INSTRUCTIONS,Not Available 3
46,SPECIAL MARKET CONDITIONS,Excl. Agcy List.
47,UNIT #1 AMENITIES,Wood Floors
48,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
49,UNIT #1 DINING ROOM TYPE,None
50,UNIT #1 OCCUPIED,Vacant
51,UNIT #2 AMENITIES,Wood Floors
52,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
53,UNIT #2 DINING ROOM TYPE,None
54,UNIT #2 OCCUPIED,"Leased, Month-to-Month"
55,WATER,Public
56,Above Ground SQFT,1748
57,Handicap Access,No
58,Unit #1 Kitchen,Eat In
59,Unit1 Kitchens on 1st Flr,1
60,Unit1 Bedrooms in Bsmt,0
61,Unit1 Bedrooms on 1st Flr,2
62,Unit1 Bedrooms on 2nd Flr,0
63,Unit1 Bedrooms on 3rd Flr,0
64,Unit1 Full Baths in Bsmt,0
65,Unit1 Full Bths on1st Flr,1
66,Unit1 Full Bths on2nd Flr,0
67,Unit1 Full Bths on3rd Flr,0
68,Unit1 Liv Rms on 1st Flr,1
69,Unit1 Partial Bth 1st Flr,0
70,Unit1 Partial Bth 2nd Flr,0
71,Unit1 Partial Bth 3rd Flr,0
72,Unit1 Partial Bth in Bsmt,0
73,Unit1 Possession,Vacant
74,Unit #2 Kitchen,Eat In
75,Unit2 Kitchens on 2nd Flr,1
76,Unit2 Bedrooms in Bsmt,0
77,Unit2 Bedrooms on 1st Flr,0
78,Unit2 Bedrooms on 2nd Flr,2
79,Unit2 Bedrooms on 3rd Flr,0
80,Unit2 Full Baths in Bsmt,0
81,Unit2 Full Bths on1st Flr,0
82,Unit2 Full Bths on2nd Flr,1
83,Unit2 Full Bths on3rd Flr,0
84,Unit2 Liv Rms on 2nd Flr,1
85,Unit2 Partial Bth 1st Flr,0
86,Unit2 Partial Bth 2nd Flr,0
87,Unit2 Partial Bth 3rd Flr,0
88,Unit2 Partial Bths Bsmt,0
89,Unit2 Possession,M/M
