,labels,values
0,MLS #,201723526
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$230,000"
4,Sale/Rent,For Sale
5,Unit #1 Rent,$900
6,Unit1 Rent Description,Estimated
7,Unit #2 Rent,"$2,000"
8,Unit2 Rent Description,Estimated
9,Address,198 JAY ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12210
14,County,Albany
15,Status,Active
16,Public Remarks,"Charming Center Square townhome w/garden apartment! The 2 BR/1.5BA two story owners unit features a beautiful open floor plan w/gleaming hardwood floors, exposed brick & beams. Cozy up to the gas stove in living / family room. Walk through French doors to a bright sun porch w/skylights & a private Sauna/shower room! Charm continues upstairs w/stained glass pocket doors & a wood stove! This home is complete w/a fenced-in yard & deck! Full 1BR/1BA garden level apartment great income to cover many expenses."
17,Directions 1,Lark to Jay
18,Age (NOT year built),149
19,Total Bedrooms Unit 1,1
20,Total Bedrooms Unit 2,2
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,1
25,Off Street Parking,No
26,Total Taxes,"9,314"
27,Acres,0.030
28,Locale,Center Square
29,School District Code,Albany
30,School Taxes,"5,144"
31,ATTIC,Hatch
32,BASEMENT,Apartment
33,CONDITION,Very Good
34,COOLING TYPE,Window A/C Unit
35,EXTERIOR,Brick
36,GARAGE DESCRIPTION,None
37,HEAT FUEL,"Electricity, Natural Gas"
38,HEAT SYSTEM,Baseboard
39,LAUNDRY,Room
40,LOT DESCRIPTION,Privacy
41,PROPERTY DESCRIPTION,Townhouse w/Apartment
42,ROOF,Rubber
43,SEPARATE UTILITIES,"Electric, Gas, Heat, Water Heater"
44,SEWER,Public
45,SHOWING INSTRUCTIONS,"Key, Lockbox"
46,SPECIAL MARKET CONDITIONS,No Special Conditions
47,UNIT #1 AMENITIES,"Built-In Cabinets, High Speed Internet, Cable Television"
48,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
49,UNIT #1 DINING ROOM TYPE,Dining Area
50,UNIT #1 OCCUPIED,Leased
51,UNIT #2 AMENITIES,"Vaulted Ceiling, Ceramic Tile, Sliding Glass Door, Skylight, Fireplace Insert, Sauna, Wood Floors, High Speed Internet"
52,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator, Dishwasher, Washer & Dryer"
53,UNIT #2 DINING ROOM TYPE,Combined DR/LR
54,UNIT #2 OCCUPIED,Owner Occupied
55,WATER,Public
56,Rental Income,"34,800"
57,Above Ground SQFT,2280
58,Handicap Access,No
59,Unit1 Kitchens on 1st Flr,1
60,Unit1 Bedrooms in Bsmt,0
61,Unit1 Bedrooms on 1st Flr,1
62,Unit1 Bedrooms on 2nd Flr,0
63,Unit1 Bedrooms on 3rd Flr,0
64,Unit1 Din Rms on 1st Flr,1
65,Unit1 Full Baths in Bsmt,0
66,Unit1 Full Bths on1st Flr,1
67,Unit1 Full Bths on2nd Flr,0
68,Unit1 Full Bths on3rd Flr,0
69,Unit1 Liv Rms on 1st Flr,1
70,Unit1 Partial Bth 1st Flr,0
71,Unit1 Partial Bth 2nd Flr,0
72,Unit1 Partial Bth 3rd Flr,0
73,Unit1 Partial Bth in Bsmt,0
74,Unit1 Possession,Mo-to-Mo
75,Unit2 Kitchens on 2nd Flr,1
76,Unit2 Bedrooms in Bsmt,0
77,Unit2 Bedrooms on 1st Flr,0
78,Unit2 Bedrooms on 2nd Flr,0
79,Unit2 Bedrooms on 3rd Flr,2
80,Unit2 Din Rms on 2nd Flr,1
81,Unit2 Full Baths in Bsmt,0
82,Unit2 Full Bths on1st Flr,0
83,Unit2 Full Bths on2nd Flr,0
84,Unit2 Full Bths on3rd Flr,1
85,Unit2 Liv Rms on 2nd Flr,1
86,Unit2 Other Rm on 2nd Flr,1
87,Unit2 Partial Bth 1st Flr,0
88,Unit2 Partial Bth 2nd Flr,1
89,Unit2 Partial Bth 3rd Flr,0
90,Unit2 Partial Bths Bsmt,0
91,Unit2 Possession,At Closing
