,labels,values
0,MLS #,201810086
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$199,000"
4,Sale/Rent,For Sale
5,Unit #1 Rent,"$1,500"
6,Unit1 Rent Description,Estimated
7,Unit #2 Rent,"$1,000"
8,Unit2 Rent Description,Estimated
9,Address,35 GLENWOOD ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12208
14,County,Albany
15,Status,Active
16,Public Remarks,"Fully renovated two family with spacious 3 bedroom on first floor. Great 1 bedroom in basement with back door entrance. Everything has been done here. New roof, siding, deck, fenced in back yard, windows, kitchens, bathrooms, flooring and driveway. A must see! Quiet neighborhood, close to parks, shops and restaurants!"
17,Directions 1,Glenwood between New scotland and woodlawn
18,Age (NOT year built),68
19,Total Bedrooms Unit 1,3
20,Total Bedrooms Unit 2,1
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,#Off Street Parking Spc,4
27,Total Taxes,"6,500"
28,School District Code,Albany
29,ATTIC,Part
30,BASEMENT,"Full, Apartment"
31,CONDITION,Excellent
32,COOLING TYPE,None
33,EXTERIOR,Vinyl
34,GARAGE DESCRIPTION,None
35,HEAT FUEL,Natural Gas
36,HEAT SYSTEM,Hot Air
37,LAUNDRY,"Area, Basement"
38,PHOTO INSTRUCTIONS,Broker Load Photo
39,PROPERTY DESCRIPTION,Up-and-Down
40,ROOF,Asphalt Shingle
41,SEPARATE UTILITIES,Not Separated
42,SEWER,Public
43,SHOWING INSTRUCTIONS,"Key, Lockbox"
44,SPECIAL MARKET CONDITIONS,No Special Conditions
45,UNIT #1 AMENITIES,"Ceramic Tile, Wood Floors"
46,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator, Dishwasher"
47,UNIT #1 DINING ROOM TYPE,Dining Area
48,UNIT #1 OCCUPIED,Vacant
49,UNIT #2 AMENITIES,"Ceramic Tile, Wood Floors"
50,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator, Dishwasher"
51,UNIT #2 DINING ROOM TYPE,Dining Area
52,UNIT #2 OCCUPIED,Vacant
53,WATER,Public
54,Above Ground SQFT,912
55,Handicap Access,See Remarks
56,Unit #1 Kitchen,Eat In
57,Unit1 Kitchens on 1st Flr,1
58,Unit1 Bedrooms in Bsmt,0
59,Unit1 Bedrooms on 1st Flr,3
60,Unit1 Bedrooms on 2nd Flr,0
61,Unit1 Bedrooms on 3rd Flr,0
62,Unit1 Din Rms on 1st Flr,0
63,Unit1 Full Baths in Bsmt,0
64,Unit1 Full Bths on1st Flr,1
65,Unit1 Full Bths on2nd Flr,0
66,Unit1 Full Bths on3rd Flr,0
67,Unit1 Liv Rms on 1st Flr,1
68,Unit1 Partial Bth 1st Flr,0
69,Unit1 Partial Bth 2nd Flr,0
70,Unit1 Partial Bth 3rd Flr,0
71,Unit1 Partial Bth in Bsmt,0
72,Unit1 Possession,immediately
73,Unit #2 Kitchen,Eat In
74,Unit2 Kitchens in Bsmt,1
75,Unit2 Bedrooms in Bsmt,1
76,Unit2 Bedrooms on 1st Flr,0
77,Unit2 Bedrooms on 2nd Flr,0
78,Unit2 Bedrooms on 3rd Flr,0
79,Unit2 Din Rms in Basement,0
80,Unit2 Full Baths in Bsmt,1
81,Unit2 Full Bths on1st Flr,0
82,Unit2 Full Bths on2nd Flr,0
83,Unit2 Full Bths on3rd Flr,0
84,Unit2 Liv Rms in Basement,1
85,Unit2 Partial Bth 1st Flr,0
86,Unit2 Partial Bth 2nd Flr,0
87,Unit2 Partial Bth 3rd Flr,0
88,Unit2 Partial Bths Bsmt,0
89,Unit2 Possession,immediately
