,labels,values
0,MLS #,201712517
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$214,900"
4,Sale/Rent,For Sale
5,Unit #1 Rent,"$1,050"
6,Unit1 Rent Description,Actual
7,Unit #2 Rent,"$1,050"
8,Unit2 Rent Description,Actual
9,Address,37 SYCAMORE ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12208-2713
14,County,Albany
15,Status,Price Change
16,Public Remarks,GREAT OWNER OCCUPIED OR INVESTORS. GREAT RENTS FOR A PRIME LOCATION TWO FAMILY. THREE CAR GARAGE COULD BRING ADDITIONAL INCOME - GARAGE DOORS TO BE REPLACED - TWO DAY NOTICE FOR SHOWINGS.
17,Directions 1,NEW SCOTLAND AVE TO SYCAMORE - NEAR FORMER ST. THRESA SCHOOL
18,Age (NOT year built),80
19,Total Bedrooms Unit 1,2
20,Total Bedrooms Unit 2,2
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,#Off Street Parking Spc,3
27,Total Taxes,"5,609"
28,School District Code,Albany
29,School Taxes,"3,156"
30,School Taxes Description,Estimated
31,ATTIC,"Full, Walk-Up"
32,BASEMENT,Full
33,CONDITION,Very Good
34,COOLING TYPE,None
35,EXTERIOR,Vinyl
36,GARAGE DESCRIPTION,Detached
37,HEAT FUEL,Natural Gas
38,HEAT SYSTEM,Baseboard
39,LAUNDRY,Basement
40,LOT DESCRIPTION,"Level, Landscaped"
41,PHOTO INSTRUCTIONS,LBO Send Photo
42,PROPERTY DESCRIPTION,Up-and-Down
43,ROOF,Asphalt Shingle
44,SEPARATE UTILITIES,"Electric, Gas, Heat, Water Heater"
45,SEWER,Public
46,SHOWING INSTRUCTIONS,"Lockbox, See Remarks"
47,SPECIAL MARKET CONDITIONS,No Special Conditions
48,UNIT #1 AMENITIES,"Built-In Cabinets, Walkout Basement, Wood Floors"
49,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
50,UNIT #1 DINING ROOM TYPE,None
51,UNIT #1 OCCUPIED,Month-to-Month
52,UNIT #2 AMENITIES,"Built-In Cabinets, Wood Floors"
53,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
54,UNIT #2 DINING ROOM TYPE,None
55,UNIT #2 OCCUPIED,Month-to-Month
56,WATER,Public
57,Above Ground SQFT,1812
58,Handicap Access,No
59,Unit #1 Kitchen,Eat In
60,Unit1 Kitchens on 1st Flr,1
61,Unit1 Bedrooms in Bsmt,0
62,Unit1 Bedrooms on 1st Flr,2
63,Unit1 Bedrooms on 2nd Flr,0
64,Unit1 Bedrooms on 3rd Flr,0
65,Unit1 Full Baths in Bsmt,0
66,Unit1 Full Bths on1st Flr,1
67,Unit1 Full Bths on2nd Flr,0
68,Unit1 Full Bths on3rd Flr,0
69,Unit1 Liv Rms on 1st Flr,1
70,Unit1 Oth Rms on 1st Flr,1
71,Unit1 Partial Bth 1st Flr,0
72,Unit1 Partial Bth 2nd Flr,0
73,Unit1 Partial Bth 3rd Flr,0
74,Unit1 Partial Bth in Bsmt,0
75,Unit1 Possession,ARR
76,Unit #2 Kitchen,Eat In
77,Unit2 Kitchens on 2nd Flr,1
78,Unit2 Bedrooms in Bsmt,0
79,Unit2 Bedrooms on 1st Flr,0
80,Unit2 Bedrooms on 2nd Flr,2
81,Unit2 Bedrooms on 3rd Flr,0
82,Unit2 Full Baths in Bsmt,0
83,Unit2 Full Bths on1st Flr,0
84,Unit2 Full Bths on2nd Flr,1
85,Unit2 Full Bths on3rd Flr,0
86,Unit2 Liv Rms on 2nd Flr,1
87,Unit2 Partial Bth 1st Flr,0
88,Unit2 Partial Bth 2nd Flr,0
89,Unit2 Partial Bth 3rd Flr,0
90,Unit2 Partial Bths Bsmt,0
91,Unit2 Possession,ARR
