,labels,values
0,MLS #,201721118
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$165,000"
4,Sale/Rent,For Sale
5,Unit #1 Rent,$0
6,Unit1 Rent Description,Estimated
7,Unit #2 Rent,$0
8,Unit2 Rent Description,Estimated
9,Address,384 MORRIS ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12208-3326
14,County,Albany
15,Status,Active
16,Public Remarks,Property is being offered on Xome. Do not disturb the tenants. Please contact the Listing Agent for any questions.
17,Directions 1,Off Washington Ave
18,Age (NOT year built),77
19,Total Bedrooms Unit 1,3
20,Total Bedrooms Unit 2,3
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,Total Taxes,"6,793"
27,Acres,0.090
28,School District Code,Albany
29,School Taxes,"3,890"
30,ATTIC,Full
31,BASEMENT,Full
32,CONDITION,Good
33,COOLING TYPE,None
34,EXTERIOR,Aluminum
35,GARAGE DESCRIPTION,Detached
36,HEAT FUEL,Natural Gas
37,HEAT SYSTEM,Hot Water
38,LAUNDRY,Basement
39,LOT DESCRIPTION,Level
40,PROPERTY DESCRIPTION,Up-and-Down
41,ROOF,Asphalt Shingle
42,SEPARATE UTILITIES,"Electric, Gas, Heat"
43,SEWER,Public
44,SPECIAL MARKET CONDITIONS,No Special Conditions
45,UNIT #1 APPLIANCES,Other
46,UNIT #1 DINING ROOM TYPE,None
47,UNIT #1 OCCUPIED,Leased
48,UNIT #2 APPLIANCES,Other
49,UNIT #2 DINING ROOM TYPE,None
50,UNIT #2 OCCUPIED,Leased
51,WATER,Public
52,Above Ground SQFT,2352
53,Handicap Access,No
54,Unit #1 Kitchen,Working Only
55,Unit1 Kitchens on 1st Flr,1
56,Unit1 Bedrooms in Bsmt,0
57,Unit1 Bedrooms on 1st Flr,3
58,Unit1 Bedrooms on 2nd Flr,0
59,Unit1 Bedrooms on 3rd Flr,0
60,Unit1 Din Rms on 1st Flr,1
61,Unit1 Full Baths in Bsmt,0
62,Unit1 Full Bths on1st Flr,1
63,Unit1 Full Bths on2nd Flr,0
64,Unit1 Full Bths on3rd Flr,0
65,Unit1 Liv Rms on 1st Flr,1
66,Unit1 Partial Bth 1st Flr,0
67,Unit1 Partial Bth 2nd Flr,0
68,Unit1 Partial Bth 3rd Flr,0
69,Unit1 Partial Bth in Bsmt,0
70,Unit1 Possession,TBD
71,Unit #2 Kitchen,Working Only
72,Unit2 Kitchens on 2nd Flr,1
73,Unit2 Bedrooms in Bsmt,0
74,Unit2 Bedrooms on 1st Flr,0
75,Unit2 Bedrooms on 2nd Flr,3
76,Unit2 Bedrooms on 3rd Flr,0
77,Unit2 Din Rms on 2nd Flr,1
78,Unit2 Full Baths in Bsmt,0
79,Unit2 Full Bths on1st Flr,0
80,Unit2 Full Bths on2nd Flr,1
81,Unit2 Full Bths on3rd Flr,0
82,Unit2 Liv Rms on 2nd Flr,1
83,Unit2 Partial Bth 1st Flr,0
84,Unit2 Partial Bth 2nd Flr,0
85,Unit2 Partial Bth 3rd Flr,0
86,Unit2 Partial Bths Bsmt,0
87,Unit2 Possession,TBD
