,labels,values
0,MLS #,201812262
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$154,900"
4,Sale/Rent,For Sale
5,Unit #1 Rent,$880
6,Unit1 Rent Description,Actual
7,Unit #2 Rent,$900
8,Unit2 Rent Description,Actual
9,Address,430 SECOND AV
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12209
14,County,Albany
15,Status,Active
16,Public Remarks,"Large 2 fam with many updates & upgrades. Porches totally rebuilt - new supports, siding, windows, deck flooring & more. 2nd unit porch was enclosed & provides extra bonus rm. All BR's are very good size. Baths are updated with new flooring. Two new refrigerators. 100amp panel per unit with wiring upgrades. Fenced yard. Roof slides added, new range 1st unit. Wood & laminate flooring. Current ROP's in place. 2nd unit uses 3rd flr for extra living space. LOW taxes. Prior day notice a must due to pet & family."
17,Directions 1,From Delaware Ave. to Second Ave. - house right between Hampton and Barrows
18,Age (NOT year built),98
19,Model,Large
20,Total Bedrooms Unit 1,3
21,Total Bedrooms Unit 2,3
22,Total Full Baths Unit 1,1
23,Total Full Baths Unit 2,1
24,Total Partial Bths Unit 1,0
25,Total Partial Bths Unit 2,0
26,Off Street Parking,No
27,#Off Street Parking Spc,0
28,Total Taxes,"4,850"
29,Locale,Delaware Ave.
30,School District Code,Albany
31,School Taxes,"2,827"
32,School Taxes Description,Actual
33,ATTIC,"Full, Walk-Up, Storage, See Remarks"
34,BASEMENT,Full
35,CONDITION,Very Good
36,COOLING TYPE,None
37,EXTERIOR,Aluminum
38,GARAGE DESCRIPTION,None
39,HEAT FUEL,Natural Gas
40,HEAT SYSTEM,"Hot Water, Radiator"
41,LAUNDRY,Area
42,LOT DESCRIPTION,Level
43,PHOTO INSTRUCTIONS,Broker Load Photo
44,PROPERTY DESCRIPTION,Up-and-Down
45,ROOF,Slate
46,SEPARATE UTILITIES,"Electric, Gas, Heat, Water Heater"
47,SEWER,Public
48,SHOWING INSTRUCTIONS,"Lockbox, Tenants, Pets, Prior Day Notice, See Remarks"
49,SPECIAL MARKET CONDITIONS,No Special Conditions
50,UNIT #1 AMENITIES,"Built-In Cabinets, Wood Floors"
51,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
52,UNIT #1 DINING ROOM TYPE,Formal Dining Room
53,UNIT #1 OCCUPIED,Month-to-Month
54,UNIT #2 AMENITIES,"Built-In Cabinets, Wood Floors, Wood Laminates"
55,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
56,UNIT #2 DINING ROOM TYPE,Formal Dining Room
57,UNIT #2 OCCUPIED,Month-to-Month
58,WATER,Public
59,Rental Income,1780
60,Above Ground SQFT,2528
61,Handicap Access,No
62,Water Expense,33.00
63,Sewer Expense,33.00
64,Unit #1 Kitchen,Eat In
65,Unit1 Kitchens on 1st Flr,1
66,Unit1 Bedrooms in Bsmt,0
67,Unit1 Bedrooms on 1st Flr,3
68,Unit1 Din Rms on 1st Flr,1
69,Unit1 Full Baths in Bsmt,0
70,Unit1 Full Bths on1st Flr,1
71,Unit1 Full Bths on2nd Flr,0
72,Unit1 Full Bths on3rd Flr,0
73,Unit1 Liv Rms on 1st Flr,1
74,Unit1 Partial Bth 1st Flr,0
75,Unit1 Partial Bth 2nd Flr,0
76,Unit1 Partial Bth 3rd Flr,0
77,Unit1 Partial Bth in Bsmt,0
78,Unit1 Possession,"March 31, 2018"
79,Unit #2 Kitchen,Eat In
80,Unit2 Kitchens on 1st Flr,1
81,Unit2 Bedrooms in Bsmt,0
82,Unit2 Bedrooms on 1st Flr,3
83,Unit2 Bedrooms on 2nd Flr,0
84,Unit2 Bedrooms on 3rd Flr,0
85,Unit2 Din Rms on 1st Flr,1
86,Unit2 Full Baths in Bsmt,0
87,Unit2 Full Bths on1st Flr,1
88,Unit2 Full Bths on2nd Flr,0
89,Unit2 Full Bths on3rd Flr,0
90,Unit2 Liv Rms on 1st Flr,1
91,Unit2 Other Rm on 2nd Flr,1
92,Unit2 Partial Bth 1st Flr,0
93,Unit2 Partial Bth 2nd Flr,0
94,Unit2 Partial Bth 3rd Flr,0
95,Unit2 Partial Bths Bsmt,0
96,Unit2 Possession,month to month
