,labels,values
0,MLS #,201709587
1,Class,TWO FAMILY
2,Type,2 Family
3,List Price,"$147,500"
4,Sale/Rent,For Sale
5,Unit #1 Rent,$725
6,Unit1 Rent Description,Actual
7,Unit #2 Rent,$800
8,Unit2 Rent Description,Actual
9,Address,466 ONTARIO ST
10,City/Town (Mail Address),Albany
11,City/Town (taxing entity),Albany
12,State,NY
13,Zip,12208
14,County,Albany
15,Status,Pend (Under Cntr)
16,Public Remarks,"Just Reduced! Charming two family on a corner lot; located in the Pine hills neighborhood. Excellent investment opportunity or owner occupy. Centrally located to hospitals, local businesses, the bus route and 3 car garage with off street parking make this home a must see."
17,Directions 1,.1 mile north on Ontario St. from New Scotland Ave; house on right
18,Age (NOT year built),145
19,Total Bedrooms Unit 1,1
20,Total Bedrooms Unit 2,2
21,Total Full Baths Unit 1,1
22,Total Full Baths Unit 2,1
23,Total Partial Bths Unit 1,0
24,Total Partial Bths Unit 2,0
25,Off Street Parking,Yes
26,#Off Street Parking Spc,6
27,Total Taxes,"4,000"
28,Acres,0.090
29,Locale,Pine Hills
30,School District Code,Albany
31,School Taxes,"2,500"
32,School Taxes Description,Estimated
33,ACCESSIBILITY FEATURES,"Bus, Sidewalk, Garage"
34,ATTIC,Eaves
35,BASEMENT,Full
36,CONDITION,Good
37,COOLING TYPE,None
38,EXTERIOR,Aluminum
39,GARAGE DESCRIPTION,Detached
40,HEAT FUEL,Natural Gas
41,HEAT SYSTEM,"Hot Water, Radiator"
42,LAUNDRY,Basement
43,LOT DESCRIPTION,"Corner, Level"
44,PROPERTY DESCRIPTION,Up-and-Down
45,ROOF,Built-Up
46,SEPARATE UTILITIES,"Electric, Gas, Heat"
47,SEWER,Public
48,SHOWING INSTRUCTIONS,"Lockbox, Tenants, Prior Day Notice, See Remarks"
49,SPECIAL MARKET CONDITIONS,No Special Conditions
50,UNIT #1 APPLIANCES,"Range w/Oven, Refrigerator"
51,UNIT #1 DINING ROOM TYPE,None
52,UNIT #1 OCCUPIED,Month-to-Month
53,UNIT #2 APPLIANCES,"Range w/Oven, Refrigerator"
54,UNIT #2 DINING ROOM TYPE,None
55,UNIT #2 OCCUPIED,Month-to-Month
56,WATER,Public
57,Above Ground SQFT,1200
58,Handicap Access,No
59,Unit #1 Kitchen,Working Only
60,Unit1 Kitchens on 1st Flr,1
61,Unit1 Bedrooms in Bsmt,0
62,Unit1 Bedrooms on 1st Flr,1
63,Unit1 Bedrooms on 2nd Flr,0
64,Unit1 Bedrooms on 3rd Flr,0
65,Unit1 Full Baths in Bsmt,0
66,Unit1 Full Bths on1st Flr,1
67,Unit1 Full Bths on2nd Flr,0
68,Unit1 Full Bths on3rd Flr,0
69,Unit1 Liv Rms on 1st Flr,1
70,Unit1 Partial Bth 1st Flr,0
71,Unit1 Partial Bth 2nd Flr,0
72,Unit1 Partial Bth 3rd Flr,0
73,Unit1 Partial Bth in Bsmt,0
74,Unit1 Possession,MTM long term tenant
75,Unit #2 Kitchen,Working Only
76,Unit2 Kitchens on 2nd Flr,1
77,Unit2 Bedrooms in Bsmt,0
78,Unit2 Bedrooms on 1st Flr,0
79,Unit2 Bedrooms on 2nd Flr,2
80,Unit2 Bedrooms on 3rd Flr,0
81,Unit2 Full Baths in Bsmt,0
82,Unit2 Full Bths on1st Flr,0
83,Unit2 Full Bths on2nd Flr,1
84,Unit2 Full Bths on3rd Flr,0
85,Unit2 Liv Rms on 2nd Flr,1
86,Unit2 Partial Bth 1st Flr,0
87,Unit2 Partial Bth 2nd Flr,0
88,Unit2 Partial Bth 3rd Flr,0
89,Unit2 Partial Bths Bsmt,0
90,Unit2 Possession,MTM
